Palabra,Frecuencia,Sueldo
$12000,1,14000.0
$14200,1,14200.0
$15000,1,14000.0
000prestaciones,2,37500.0
00zona,1,11000.0
10%seguro,1,14000.0
15189habilidades,1,14000.0
22000conocimiento,1,20000.0
22000horario,1,23000.0
30/03/2025,1,15600.0
30pmsueldo,2,37500.0
375sgmmhappy,1,12000.0
470pago,1,13000.0
5611280641,1,7000.0
@dental,1,16000.0
@hospitalesmac,1,15000.0
abarca,1,8600.0
abastecida,1,15000.0
abastecimientos,1,25000.0
abasto,1,16000.0
abastos,1,50000.0
abierto,5,19500.0
abordar,1,16000.0
abraham,1,9000.0
abraza,3,17944.0
absorción,3,14019.5
abundancia,1,17000.0
acabados,2,6050.0
académica,8,27366.666666666668
académico,3,9000.0
académicos,2,7000.0
acceso,10,13839.6
accesorios,1,13000.0
accesos,1,18600.0
acciones,8,18942.85714285714
acción,3,21000.0
aceptación,5,11999.75
aceptamos,1,15000.0
aceptan,2,10000.0
aceptar,4,14466.666666666666
acerca,9,12821.714285714286
acidez,1,20000.0
acomodar,1,8600.0
acomodo,2,11682.0
acompañamiento,2,12500.0
acondicionamiento,1,15000.0
acorde,4,23166.666666666668
acreditaciones,3,21600.0
acreditación,1,22600.0
acreditado,2,9000.0
actitud,10,15328.285714285714
actitudes,1,15000.0
activa,2,18500.0
activacion,1,8400.0
activación,2,8500.0
activamente,1,17000.0
actividades,76,18087.303030303032
activo,3,17944.0
activos,4,15000.0
actualización,10,14644.444444444445
actualizada,2,14500.0
actualizadas,1,16000.0
actualizado,4,14741.0
actualizados,4,20249.75
actualizar,6,15450.0
actualmente,3,15666.666666666666
actuar,1,17000.0
acuario,1,9000.0
acuden,3,11500.0
acudir,6,14100.0
acuerdo,31,13826.6
acuerdos,2,32500.0
acuicultura,2,6050.0
acámbaro,1,14100.0
adaptabilidad,4,18749.5
adaptación,2,30000.0
adaptacióntrabajo,1,20000.0
adaptándolos,1,7000.0
adecuada,2,19800.0
adecuadamente,1,20000.0
adecuadas,1,13000.0
adecuado,10,14120.0
adelante,5,13375.0
adelanteconocimiento,1,15000.0
adelanto,1,10000.0
además,11,10610.857142857143
adicional,3,12454.666666666666
adicionales,11,13320.375
adicionalescontratación,1,8364.0
adicionalesprestaciones,2,12500.0
adicionalessalario,1,11500.0
adicionalessueldo,4,14000.0
adicionaleszona,1,9000.0
adiestramiento,1,12600.0
aditivos,5,12788.0
adjuntar,1,25000.0
administración,25,21641.583333333332
administrada,1,14000.0
administrador,2,6050.0
administrar,3,18200.0
administrativa,7,13566.666666666666
administrativas,2,8138.0
administrativasrealizar,1,30000.0
administrativo,2,10000.0
administrativo/a,1,10000.0
administrativos,6,16560.0
adquirida,1,15000.0
adquiridos,1,25000.0
adquirir,1,10000.0
adquisiciones,1,18000.0
adquisición,2,20000.0
adriana,1,35000.0
adultos,1,15000.0
adversas,1,32000.0
aerolíneas,1,10000.0
aerosoles,2,12000.0
afectaciones,1,17000.0
afiliación,1,10800.0
afines,7,14262.714285714286
afrontar,1,20000.0
agencias,1,10000.0
agenda,2,14250.0
agende,1,9000.0
agentes,2,15000.0
agilidad,1,8400.0
agilizar,1,9200.0
agrobiológica,2,6050.0
agrobiótica,2,6050.0
agroecológica,2,6050.0
agroindustrial,4,9775.0
agronomo,1,15000.0
agronomía,4,14000.0
agropecuaria,2,6050.0
agropecuario,2,6050.0
agroquímica,1,15000.0
agrícola,8,9775.0
agrónomo,9,8366.666666666666
agrónomos,1,18000.0
aguamedios,1,11000.0
aguinaldo,36,16242.888888888889
ahorro,37,16930.727272727272
ahorrovales,3,29333.333333333332
aislarlos,1,8600.0
ajustes,2,10250.0
alcaldía,1,20000.0
alcanzar,1,18600.0
alcoholes,1,20000.0
alcohólico,1,20000.0
aleatorias,1,15000.0
alemán,2,30000.0
alerta,1,17000.0
alertas,2,12500.0
algebra,1,12000.0
alguien,3,9925.333333333334
alguna,2,12000.0
algunas,1,12600.0
alguno,1,10000.0
algunos,2,9500.0
alianzas,1,15000.0
alimentación,1,12600.0
alimentaria,7,24333.333333333332
alimentarias,4,10033.333333333334
