Nombre,Ciudad,Estado,Relación_profesional,Responsabilidad,Requisitos,Toda,Sueldo,Ingreso_mensual,Diferencia
Gerente de Producción Farma,"Tizayuca, Hgo.",Hidalgo,Laboratorio,"Garantizar el cumplimiento de los planes maestros de producción y su ejecución en los planes de logística y mantenimiento para satisfacer al 100% las necesidades globales y la disponibilidad del portafolio de producto terminado y muestras médicas a las diferentes fuerzas de ventas (Privado y Gobierno), sin generar faltantes a la facturación.Establecer la estrategia para mantener niveles de inventario en proceso, óptimos / operativos y cumplir con los índices de rotación establecidos por la dirección de finanzas, garantizando la cadena de abastos y los costos unitarios de fabricación.Cumplir con las políticas de eficiencia y eficacia establecidas por la dirección general en términos de productividad, reducción de costos, rendimientos y tiempos de entrega.Dirigir las actividades que promuevan y desarrollen el mantenimiento y conservación de inmuebles e instalaciones, maquinaria, equipo productivo y de servicios de tal forma que estos cumplan con las exigencias de operación y de regulación sanitaria.Garantizar el cumplimiento de las políticas y del manual de calidad de la compañía y cumplir cabalmente los requerimientos de calidad que se establezcan con los clientes de Venta Servicios.Establecer la mejora continua y lineamientos de manufactura esbelta en el macro proceso de producción. Mantener y respetar la política de Higiene y Seguridad y Medio Ambiente., Licenciatura en Químico Farmacéutico Biólogo, Químico Farmacéutico Industrial y/o carrera afín; Titulado y con cédula profesional.Preferente que tenga cursos de posgrado en Tecnología Farmacéutica, Diplomados en Administración de la Producción, Six Sigma, Kan- Ban, etc.Experiencia comprobable en liderazgo de equipos de producción en farma.","Licenciatura en Químico Farmacéutico Biólogo, Químico Farmacéutico Industrial y/o carrera afín; Titulado y con cédula profesional.Preferente que tenga cursos de posgrado en Tecnología Farmacéutica, Diplomados en Administración de la Producción, Six Sigma, Kan- Ban, etc.Experiencia comprobable en liderazgo de equipos de producción en farma.","Descripción, Funciones:Garantizar el cumplimiento de los planes maestros de producción y su ejecución en los planes de logística y mantenimiento para satisfacer al 100% las necesidades globales y la disponibilidad del portafolio de producto terminado y muestras médicas a las diferentes fuerzas de ventas (Privado y Gobierno), sin generar faltantes a la facturación.Establecer la estrategia para mantener niveles de inventario en proceso, óptimos / operativos y cumplir con los índices de rotación establecidos por la dirección de finanzas, garantizando la cadena de abastos y los costos unitarios de fabricación.Cumplir con las políticas de eficiencia y eficacia establecidas por la dirección general en términos de productividad, reducción de costos, rendimientos y tiempos de entrega.Dirigir las actividades que promuevan y desarrollen el mantenimiento y conservación de inmuebles e instalaciones, maquinaria, equipo productivo y de servicios de tal forma que estos cumplan con las exigencias de operación y de regulación sanitaria.Garantizar el cumplimiento de las políticas y del manual de calidad de la compañía y cumplir cabalmente los requerimientos de calidad que se establezcan con los clientes de Venta Servicios.Establecer la mejora continua y lineamientos de manufactura esbelta en el macro proceso de producción. Mantener y respetar la política de Higiene y Seguridad y Medio Ambiente.Requisitos:Licenciatura en Químico Farmacéutico Biólogo, Químico Farmacéutico Industrial y/o carrera afín; Titulado y con cédula profesional.Preferente que tenga cursos de posgrado en Tecnología Farmacéutica, Diplomados en Administración de la Producción, Six Sigma, Kan- Ban, etc.Experiencia comprobable en liderazgo de equipos de producción en farma.",50000,12700,37300
Gerente de control e calidad y mejora continua,"Mérida, Yuc.",Yucatán,Laboratorio,"Somos una empresa líder en la producción de salsas y condimentos de alta calidad. Nuestro compromiso con la excelencia y la innovación nos ha posicionado como referentes en la industria alimentaria., Garantizar el cumplimiento de los estándares de calidad, inocuidad y mejora continua en todos los procesos de la empresa, asegurando productos seguros y conformes, fortaleciendo la competitividad a través de la innovación, la eficiencia operativa y el liderazgo transversal., Ingeniería en Alimentos, Ingeniería Química, Químico Biólogo Bromatólogo o afín.Deseable Maestría en Gestión de la Calidad, Inocuidad Alimentaria o Mejora Continua.Mínimo 5 años en puestos de liderazgo en aseguramiento de calidad en industria alimentaria.Experiencia con certificaciones: ISO 22000, ISO 9001, ISO 14000, HACCP, SEDEX, HALAL, KOSHER.Dominio de metodologías: Lean Manufacturing, Six Sigma, Kaizen, 5S.Conocimiento en ERP con módulos de calidad e inocuidad.Excel avanzado / Power BI para análisis de datos.Inglés nivel B1 (intermedio).","Ingeniería en Alimentos, Ingeniería Química, Químico Biólogo Bromatólogo o afín.Deseable Maestría en Gestión de la Calidad, Inocuidad Alimentaria o Mejora Continua.Mínimo 5 años en puestos de liderazgo en aseguramiento de calidad en industria alimentaria.Experiencia con certificaciones: ISO 22000, ISO 9001, ISO 14000, HACCP, SEDEX, HALAL, KOSHER.Dominio de metodologías: Lean Manufacturing, Six Sigma, Kaizen, 5S.Conocimiento en ERP con módulos de calidad e inocuidad.Excel avanzado / Power BI para análisis de datos.Inglés nivel B1 (intermedio).","Descripción, Somos una empresa líder en la producción de salsas y condimentos de alta calidad. Nuestro compromiso con la excelencia y la innovación nos ha posicionado como referentes en la industria alimentaria.OBJETIVO DEL PUESTO:Garantizar el cumplimiento de los estándares de calidad, inocuidad y mejora continua en todos los procesos de la empresa, asegurando productos seguros y conformes, fortaleciendo la competitividad a través de la innovación, la eficiencia operativa y el liderazgo transversal.FUNCIONES PRINCIPALES:Dirigir el sistema de gestión de calidad e inocuidad alimentaria.Garantizar el cumplimiento de certificaciones y normativas internacionales.Implementar controles de calidad y supervisar productos terminados.Liderar iniciativas de mejora continua y análisis de riesgos.Gestionar al equipo de calidad y fomentar su desarrollo profesional.Fortalecer la cultura organizacional en calidad e inocuidad.Coordinar auditorías internas y externas.Colaborar con otras áreas para el logro de objetivos estratégicos.REQUISITOS:Ingeniería en Alimentos, Ingeniería Química, Químico Biólogo Bromatólogo o afín.Deseable Maestría en Gestión de la Calidad, Inocuidad Alimentaria o Mejora Continua.Mínimo 5 años en puestos de liderazgo en aseguramiento de calidad en industria alimentaria.Experiencia con certificaciones: ISO 22000, ISO 9001, ISO 14000, HACCP, SEDEX, HALAL, KOSHER.Dominio de metodologías: Lean Manufacturing, Six Sigma, Kaizen, 5S.Conocimiento en ERP con módulos de calidad e inocuidad.Excel avanzado / Power BI para análisis de datos.Inglés nivel B1 (intermedio).OFRECEMOS:Contrato indefinido.Salario competitivo: $44,476 brutos mensuales + bono mensual de $10,000.Horario: Lunes a viernes de 9:00am a 6:00pm, Sábado de 9:00am a 1:00pm.Oportunidad de crecimiento profesional en empresa líder del sector.",44000,18200,25800
Coordinador Asuntos Regulatorios,Ciudad de México,Ciudad de México,Otro,"- Conocimiento en regulación sanitaria de cosméticos en México, - Experiencia en tramites de COFEPRIS",- Experiencia en tramites de COFEPRIS,"Descripción, Coordinador de Asuntos RegulatoriosRequisitos:- Carrera: Químico Fármaco Biólogo, Químico Farmacéutico e Industrial, Ingeniero Químico o afín- Inglés avanzado- Conocimiento en regulación sanitaria de cosméticos en México- Experiencia en tramites de COFEPRIS- Excel.Actividades:· Asegurar el cumplimiento de la legislación sanitaria en México´· Conocimiento en fabricación, distribución y comercialización de productos cosméticos· Identificar posibles riesgos regulatorios para el negocio.· Comunicar oportunamente sobre cambios en la legislación sanitaria en MéxicoHorario:Lunes a Jueves 8:00am a 5:30pm viernes 8:00am – 2:30pmSueldo $45,000Prestaciones de LeyPrestaciones SuperioresAguinaldo superior a la leyFondo de ahorroVales de DespensaPrima vacacional superior a la leyDescuentos dentro de productos",40000,29500,10500
Gerente de Mínima Invasión,"Cuauhtémoc, CDMX",Ciudad de México,Laboratorio,"Coordinar y supervisar las operaciones y personal de mínima invasión conforme a los lineamientos de la empresa a nivel nacional., Experiencia en atención a clientes y proveedores., Productos del giro médico como Mínima Invasión, Laboratorio Clínico y Banco de Sangre o afín (deseable en servicios integrales de laboratorio o equipo de diagnóstico médico)., Manejo de Bases de Datos en Excel., Manejo de equipos de trabajo.",Experiencia en atención a clientes y proveedores.,"Descripción, Somos una Empresa Mexicana líder en la comercialización de servicios de Mínima Invasión a Nivel Nacional y estamos en búsqueda de tu Talento como:Gerente de Mínima Invasión¿Qué actividades realizarías?Desarrollar y coordinar proyectos de licitaciones con instituciones públicas como el ISSSTE, IMSS, Secretarías de Salud a nivel federal y estatal.Coordinar y supervisar las operaciones y personal de mínima invasión conforme a los lineamientos de la empresa a nivel nacional.Resolver y atender las necesidades del cliente.Proporcionar el Servicio de Mínima Invasión en Instituciones públicas y privadas.Garantizar la máxima facturación de los proyectos de mínima invasión.Establecer los parámetros que lleven al cumplimiento de objetivos de facturación mensual y anual.Planear, validar y autorizar los movimientos y rotaciones de inventarios.¿Qué requisitos necesitas?EXPERIENCIAFormación académica como Químico-Biológica: QFB, QBP, QC, Químico, Ing. Químico, Biólogo, Médico o afín.5 años como Gerente de Mínima Invasión o puestos similares.Experiencia en atención a clientes y proveedores.Logística y distribución de insumos médicos o productos similares.Cumplimiento de contratos y servicios.CONOCIMIENTOSProductos del giro médico como Mínima Invasión, Laboratorio Clínico y Banco de Sangre o afín (deseable en servicios integrales de laboratorio o equipo de diagnóstico médico).Licitaciones.Manejo de Bases de Datos en Excel.SAP BO.APTITUDESDisponibilidad de horario para atender contingencias.Manejo de equipos de trabajo.Te proponemos:Ser parte de una compañía con espíritu profesional, responsable y de alta calidad en nuestros servicios, en un ambiente de aprendizaje, crecimiento y proyectos desafiantes junto a un equipo de grandes profesionales y especialistas con:Sueldo de $40,000.00 a $50,000.00 mensuales brutos (acorde a experiencia).Prestaciones de ley (IMSS, vacaciones, aguinaldo, INFONAVIT, FONACOT).Cotización al 100% en el IMSS desde tu primer día de ingreso.Estabilidad laboral.Horario de lunes de viernes de 09:00 a 18:00 h. (con disponibilidad de horario).Desarrollo laboral dentro de la compañía.Teléfono celular de la empresa.",40000,29500,10500
Especialista Seguridad e Higiene,"Tlalnepantla de Baz, Estado de México",México,Laboratorio,"Industria del sector químico, te invita a formar parte de su equipo de trabajo como:, Planear, desarrollar y vigilar las actividades y programas en materia de seguridad Industrial, higiene, medio ambiente y Salud Ocupacional, estableciendo una cultura de seguridad, y así disminuir y evitar riesgos y/o daños al personal, instalaciones y/o medio ambiente.",,"Industria del sector químico, te invita a formar parte de su equipo de trabajo como:

“Especialista Seguridad e Higiene""


Condiciones:
• Horario laboral: lunes a viernes de 08:00 am a 05:00 pm.
• Ubicación: Gustavo A. Madero y Tlalnepantla de Baz. 


Perfil requerido:
• Ingeniería o Licenciatura.
• Experiencia: 3 a 5 años cualquier sector, deseable sector químico.
• Indispensable conocimientos de normas ISO 9001, 14001, OSHAS 18001
• Conocimientos de requisitos legales aplicables en Seguridad, Salud, Higiene y Medio Ambiente.
• Deseable, inglés intermedio

Funciones principales:
Planear, desarrollar y vigilar las actividades y programas en materia de seguridad Industrial, higiene, medio ambiente y Salud Ocupacional, estableciendo una cultura de seguridad, y así disminuir y evitar riesgos y/o daños al personal, instalaciones y/o medio ambiente.

Oferta y beneficios:
• Sueldo mensual de $35,000 a $39,000 brutos
• Prestaciones de Ley
• Prestaciones Superiores: vales de despensa y restaurante, fondo de ahorro, SGMM, Seguro de vida.
• Contratación directa con la empresa.",39000,17100,21900
Coordinador Asuntos Regulatorios (cosmeticos),"Querétaro, Qro.",Querétaro,Otro,"- Conocimiento en regulación sanitaria de cosméticos en México, - Experiencia en tramites de COFEPRIS, - Experiencia en giro cosmético (indispensable)","- Experiencia en tramites de COFEPRIS, - Experiencia en giro cosmético (indispensable)","Descripción, Coordinador de Asuntos RegulatoriosRequisitos:- Carrera: Químico Fármaco Biólogo, Químico Farmacéutico e Industrial, Ingeniero Químico o afín- Inglés avanzado- Conocimiento en regulación sanitaria de cosméticos en México- Experiencia en tramites de COFEPRIS- Excel.- Experiencia en giro cosmético (indispensable)Actividades:· Asegurar el cumplimiento de la legislación sanitaria en México´· Conocimiento en fabricación, distribución y comercialización de productos cosméticos· Identificar posibles riesgos regulatorios para el negocio.· Comunicar oportunamente sobre cambios en la legislación sanitaria en MéxicoHorario: Lunes a Jueves 8:00am a 5:30pm viernes 8:00am – 2:30pmSueldo $45,000Prestaciones de LeyPrestaciones SuperioresAguinaldo superior a la leyFondo de ahorroVales de DespensaPrima vacacional superior a la leyDescuentos dentro de productos",35000,18500,16500
Jefe de laboratorio / aplicaciones 4712,"Querétaro, Querétaro",Querétaro,Laboratorio,"Mínimo 5 años de experiencia en puesto similar., Conocimiento en Buenas Prácticas de Laboratorio, Conocimiento en Técnicas Analíticas., Conocimiento en el área de alimentos en área de sabores e ingredientes., Experiencia en manejo de personal comprobable., Supervisar y distribuir las solicitudes ingresadas a los aplicadores, Garantizar resultados válidos y confiables., Entregar oportunamente los resultados de los proyectos al cliente., Utilizar los materiales y equipo de laboratorio de manera eficiente., Supervisar que se cumpla con las normas de productos vigentes., Proporcionar apoyo técnico a los clientes cuando ellos lo requieran, Supervisar que se cuente con el material y equipo suficientes para llevar a cabo las actividades en el Laboratorio de Aplicaciones, Cargar las fórmulas de producción en el sistema CONTPAQ",,"Empresa a nivel nacional solicita: 


JEFE DE LABORATORIO / APLICACIONES 4712

REQUISITOS: 
Químico Fármaco Biólogo y/o Químico en Alimentos.
Titulado y con cédula profesional, carrera afín 
• Mínimo 5 años de experiencia en puesto similar. 
• Conocimientos en mobiliario y equipo de laboratorio. 
• Conocimiento en Buenas Prácticas de Laboratorio 
• Conocimiento en Técnicas Analíticas. 
• Conocimientos en Evaluación Sensorial 
• Conocimiento en el área de alimentos en área de sabores e ingredientes. 
• Experiencia en manejo de personal comprobable.

Funciones:
•	Elaborar, ejecutar y hacer ejecutar los procedimientos aplicables al Laboratorio de Aplicaciones. 
•	Supervisar y distribuir las solicitudes ingresadas a los aplicadores 
•	Garantizar resultados válidos y confiables. 
•	Entregar oportunamente los resultados de los proyectos al cliente. 
•	Utilizar los materiales y equipo de laboratorio de manera eficiente. 
•	Supervisar que se cumpla con las normas de productos vigentes. 
•	Interactuar con el área comercial para tomar acuerdos y despejar dudas respectos a las solicitudes ingresadas 
•	Generar semanalmente reportes de status de solicitudes de trabajo 
•	Proporcionar apoyo técnico a los clientes cuando ellos lo requieran 
•	Mantenimiento de la aromateca 
•	Supervisar que se cuente con el material y equipo suficientes para llevar a cabo las actividades en el Laboratorio de Aplicaciones 
•	Garantizar que las BPM e Inocuidad se cumplan en el laboratorio 
•	Capturar información en los formatos y software establecidos en el laboratorio. 14. Planeación de presupuestos y actividades. 
•	Asegurar que las pruebas sensoriales sean llevadas a cabo de manera correcta para garantizar resultados precisos. 
•	Cargar las fórmulas de producción en el sistema CONTPAQ 
•	Apoyar al Gerente General en actividades específicas 
•	Interactuar con las filiales de la empresa de manera continua para intercambiar información técnica 
•	Interactuar de manera continua con el departamento de Creaciones para trabajar de manera conjunta y optimizar actividades 
•	Gestionar la planificación y ejecución de proyectos técnicos del laboratorio, asegurando que se cumplan los plazos y los requisitos de los clientes. 
•	Desarrollar y ejecutar programas de capacitación para el equipo, asegurando que estén actualizados en los procedimientos, normas y tecnologías del trabajo, 
•	Conocimientos en normas de inocuidad 	


OFRECEMOS:
$35,000 mensuales brutos 
Prestaciones Superiores a las de Ley
Más bono anual, Vales de despensa, seguro de gastos médicos mayores.
Contrato directo con la empresa


HORARIO: 
Lunes a Jueves de 8:00am a 6:00pm y viernes de 8:00am a 4:00pm


Zona para laborar Querétaro 


Solo si cubres el perfil envía tu C.V. en formato /Word al correo antes mencionado con atención a la Lic. Adriana Santillán  Horario de 8:00 am a 5:00 pm 
ASAP, CUBRIENDO LA CIUDAD DE MEDICO Y AL INTERIOR DE LA REPÚBLICA",35000,18500,16500
Ingeniero de Automatización y Control,"Lerma, Estado de México",México,Laboratorio,"2. Colaborar en el soporte de automatización de manufactura en un ambiente de Buenas Prácticas de Manufactura (GMPs) incluyendo múltiples sistemas de automatización de procesos de manufactura como DELTAV., 5. Colaborar en la solución de problemas de proceso y problemas de automatización reparaciones soluciones de ingeniería para problemas recurrentes, soporte a proyectos de optimización de procesos gestión de proyectos y ejecución de mantenimiento periódico., 10. Conocimiento de la cultura OPEX, 2 años en puesto similar en industria química o farmoquímica, Cumplimiento normativo en industria farmacéutica y eléctrica.",,"?? Únete a nuestro equipo en TAPI ??

En TAPI, nos dedicamos a impulsar la salud desde la raíz. Te invitamos a profesionales apasionados a unirse a nuestra misión.

Tu trayectoria en TAPI es más que un simple trabajo: es una oportunidad para generar un impacto duradero en la salud global. Si estás listo para liderar, innovar e inspirar, nos complace darte la bienvenida a nuestro equipo. Juntos, forjemos el futuro de la industria farmacéutica. Postúlate a nuestra vacante de Ingeniero de Automatización y Control


Propósito del rol:

Asegurar la instalación y coadyuvar en la correcta operación, buena administración y mantenimiento del equipo de automatización y control requerido en planta TAPI.



Responsabilidades:

1. Colaborar con los ingenieros de procesos, proyectos y mantenimiento para todos los asuntos de automatización y equipo.

2. Colaborar en el soporte de automatización de manufactura en un ambiente de Buenas Prácticas de Manufactura (GMPs) incluyendo múltiples sistemas de automatización de procesos de manufactura como DELTAV.

3. Soportar la instalación y modificación de sistemas de automatización; incluyendo especificaciones escritas y procedimientos estándar de operación de automatización, programación, pruebas y mantenimiento a sistemas de automatización.

4. Colaborar en el soporte de equipo de manufactura de API’s incluyendo: reactores, secadores de charlas, secadores rotativos, condensadores, sistemas de enfriamiento-calentamiento, centrifugas, tanques de proceso, glove box, etc.

5. Colaborar en la solución de problemas de proceso y problemas de automatización reparaciones soluciones de ingeniería para problemas recurrentes, soporte a proyectos de optimización de procesos gestión de proyectos y ejecución de mantenimiento periódico.

6. Desarrollar procedimiento para operación, control y administración de sistemas de automatización.

7. Ejecutar la capacitación del personal de manufactura, técnicos de mantenimiento, y otros ingenieros en la operación, mantenimiento, resolución de problemas y programación de sistemas de automatización

8. En materia de Seguridad, Higiene y Medioambiente y Salud Ocupacional, el titular del puesto conoce, se compromete y actúa conforme los procedimientos y normas aplicables de SHE y Salud Ocupacional.

9. En materia de Calidad, el titular del puesto conoce, se compromete y actúa conforme a los procedimientos y normas aplicables de Calidad.

10. Conocimiento de la cultura OPEX





Requisitos:


Experiencia

2 años en puesto similar en industria química o farmoquímica

Escolaridad

Ingeniería Química Industrial, Mecatrónica, Mecánica, Electrónica y Eléctrica.

Conocimientos Técnicos

-En electrónica, electricidad, neumática, automatización y control, programas de cómputo (Autocad, Microsoft project, MS Office, estadísticos).

-Administración de recursos, programación y solución de problemas en Delta V.

- Cumplimiento normativo en industria farmacéutica y eléctrica.

Idiomas: Inglés avanzado (Conversacional Indispensable, se realizarán entrevistas en inglés)

Herramientas: SAP, Dashboards, Power Bi, SCADA, BMS.

Ofrecemos:

Salario Competitivo

Vales despensa 13%

Fondo de ahorro 13% (topel legal)

Aguinaldo 45 días

Días de Balance

Prima Vacacional 75%

Seguro dental

SGMM

Seguro de Vida",32999,17100,15899
Biólogo de Obra,"Los Cabos, Baja California Sur",Baja California,Laboratorio,"o Deseable posgrado o cursos en manejo ambiental de obras o normatividad ambiental mexicana., o Mínimo 3 años de experiencia en monitoreo ambiental en campo., o Experiencia en la aplicación de programas de rescate y reubicación de flora y fauna., o Conocimiento práctico de ecosistemas costeros, desérticos y de especies protegidas de la región de Baja California Sur., o Monitoreo de indicadores ambientales, calidad de aire, ruido, suelo y agua., o Deseable manejo de software SIG (ArcGIS, QGIS) y herramientas de ofimática (Excel, Word, etc.)., Compromiso con la conservación y cumplimiento ambiental., Capacidad para trabajar en equipo con personal técnico y de obra., Supervisar la implementación de medidas ambientales en el sitio de obra.",,"Formación académica:
o	Licenciatura en Biología, Ciencias Ambientales o carrera afín.
o	Deseable posgrado o cursos en manejo ambiental de obras o normatividad ambiental mexicana.
Experiencia:
o	Mínimo 3 años de experiencia en monitoreo ambiental en campo.
o	Participación en al menos 1 proyecto de obra civil o infraestructura urbana como responsable o supervisor ambiental.
o	Experiencia en la aplicación de programas de rescate y reubicación de flora y fauna.
o	Conocimiento práctico de ecosistemas costeros, desérticos y de especies protegidas de la región de Baja California Sur.

Conocimientos técnicos:
o	Legislación ambiental vigente (LGEEPA, NOM-059-SEMARNAT, etc.).
o	Elaboración y seguimiento de bitácora ambiental.
o	Monitoreo de indicadores ambientales, calidad de aire, ruido, suelo y agua.
o	Identificación y registro de especies de flora y fauna.
o	Manejo de GPS, cámaras trampa, equipos de medición ambiental.
o	Deseable manejo de software SIG (ArcGIS, QGIS) y herramientas de ofimática (Excel, Word, etc.).

Competencias y habilidades:
•	Trabajo en campo y adaptación a condiciones climáticas adversas.
•	Compromiso con la conservación y cumplimiento ambiental.
•	Organización, precisión y documentación técnica.
•	Capacidad para trabajar en equipo con personal técnico y de obra.
•	Buenas habilidades de comunicación para reportar hallazgos y observaciones.

Funciones principales:
•	Supervisar la implementación de medidas ambientales en el sitio de obra.
•	Monitorear, documentar y reportar impactos ambientales y cumplimiento de condiciones establecidas en la MIA.
•	Coordinar o ejecutar programas de rescate de flora y fauna, previo y durante los trabajos.
•	Generar informes técnicos periódicos y bitácoras ambientales para entrega a autoridades (SEMARNAT, PROFEPA, gobierno estatal o municipal).
•	Asesorar al personal de obra sobre buenas prácticas ambientales y manejo de residuos.
•	Detectar riesgos ambientales y proponer acciones correctivas o preventivas.",32000,18800,13200
Gerente de cuentas clave,"Huixquilucan, Edo. Méx.​",México,Laboratorio,"· Solicitud de muestras y productos a Compras., -Experiencia comercial en el ramo 6 años de experiencia mínimo, -Experiencia en venta de materias primas químicas en la industria cosmética","-Experiencia comercial en el ramo 6 años de experiencia mínimo, -Experiencia en venta de materias primas químicas en la industria cosmética","Descripción, Nombre del Puesto: Gerente de cuentas claveÁrea: VentasPuesto al que reporta: Director comercialOBJETIVO DEL PUESTO: Desarrollo de nuevos negocios y mantenimiento de cuentas clave a través de CRM y contacto estratégico con clientes.FUNCIONES Y/O ACTIVIDADES:· Contacto con clientes clave y registro en CRM· Cumplimiento de metas de presupuesto y margen autorizado por finanzas· Elaboración y presentación de cotizaciones al Cliente.· Entrega de muestras al Cliente.· Solicitud de muestras y productos a Compras.· Solicitud de Líneas de Crédito.· Gestionar cartera vencida.· Gestionar el presupuesto mensual y anual.· Informes de ventas, plan de trabajo de desarrollo de nuevos negocios, así como los logros obtenidos a través de CRM· Cierre de proyectos (oportunidades) en CRM· Participación activa en el sistema de SHE.· Uso del EPP en las áreas designadas.· Participar en las pláticas y capacitaciones de seguridad y salud· Proceso de ventas: cotizaciones, prospecciones, confirmar pedidos, cumplimiento a presupuesto, seguimiento en CRM.REQUISITOS:-Escolaridad: Profesional Químico farmacéutico biólogo o químico en alimentos-Experiencia comercial en el ramo 6 años de experiencia mínimo-Gerente de cuentas clave 3 años de experiencia mínimo-Experiencia en venta de materias primas químicas en la industria cosmética-Conocimientos en comercialización, mercado de materias primas para alimentos y farmacéutico, perfiles de cliente, satisfacción de cliente, presupuesto, margen de utilidad y cobranza.-Enfoque a resultados-Actitud de servicio-LiderazgoOFRECEMOS:- Sueldo: $30,000- $40,000 mensuales brutos.-Bonos mensuales y trimestrales.- Prestaciones superiores a las de ley:· Fondo de ahorro 13%· Seguro de gastos médicos mayores y menores· Vales de despensa ($1,100) mensuales· Esquema home office 4 días de 5.· 21 días aguinaldo· Premio de antigüedad (5 mil pesos por cada 5 años)HORARIO:- Lunes a viernes 8:00 am a 6:00 pmUBICACIÓN:- Huixquilucan, Estado de México",30000,17100,12900
