Nombre,Ciudad,Estado,Relación_profesional,Responsabilidad,Requisitos,Toda,Sueldo,Ingreso_mensual,Diferencia,id_estado,id_relaciones
Coordinador/a de Laboratorios de Ciencias de la Salud,"Monterrey, N.L.",Nuevo León,Laboratorio,"Las actividades a continuación descritas son enunciativas mas no limitativas ya que la operación del personal contratado para esta posición estará sujeta a las necesidades requeridas por la institución. Cualquier cambio de actividad estará sujeto a revisión y aprobación por parte de la Dirección General de Ciencias de la Salud y las autoridades institucionales., 1.     Realizar la logística de programación de las sesiones prácticas en los laboratorios de Ciencias de la Salud, asegurando la distribución eficiente que permita un aprovechamiento adecuado de los recursos del área., 2.    Asegurar la entrega en tiempo de insumos, materiales, reactivos y equipo requeridos para la realización de las sesiones prácticas. Así como supervisar el procedimiento para el préstamo y recepción de materiales, equipos y otros recursos a docentes, alumnos y académicos., 3.    Desarrollar, ejecutar y supervisar el plan de mantenimiento de los recursos del área, tanto por desgaste como para cumplir con las especificaciones del fabricante o proveedor., ·        Experiencia laboral en áreas de ciencias de la salud o en administración de educación superior mínimo de 2 años, preferentemente ocupando un puesto similar., ·        Docencia en el nivel superior, mínimo de 1 año., Experiencia técnica y habilidades: Manejo de Office (Excel, Power Point, Word, Outlook). Negociación., Estamos posicionados como una de las mejores Universidades a nivel nacional, con 55 años de experiencia en el mercado, alcanzando los más altos estándares en calidad educativa, contamos con la acreditación “Lisa y Llana” otorgada por la FIMPES y 5 estrellas QS Ratings en enseñanza, empleabilidad, inclusión y educación en línea.","·        Experiencia laboral en áreas de ciencias de la salud o en administración de educación superior mínimo de 2 años, preferentemente ocupando un puesto similar., Experiencia técnica y habilidades: Manejo de Office (Excel, Power Point, Word, Outlook). Negociación., Estamos posicionados como una de las mejores Universidades a nivel nacional, con 55 años de experiencia en el mercado, alcanzando los más altos estándares en calidad educativa, contamos con la acreditación “Lisa y Llana” otorgada por la FIMPES y 5 estrellas QS Ratings en enseñanza, empleabilidad, inclusión y educación en línea.","Descripción, Coordinación de Laboratorios de Ciencias de la Salud Propósito general:Ejecutar de acuerdo con el Manual de Operación Académica de Ciencias de la Salud las actividades relacionadas con la planificación y gestión de los recursos de los laboratorios de Ciencias de la Salud, para brindar atención a los académicos, docentes y alumnos de las licenciaturas de Ciencias de la Salud, utilizando los recursos disponibles como el medio para el logro de los objetivos del Modelo Académico institucional. Funciones:Las actividades a continuación descritas son enunciativas mas no limitativas ya que la operación del personal contratado para esta posición estará sujeta a las necesidades requeridas por la institución. Cualquier cambio de actividad estará sujeto a revisión y aprobación por parte de la Dirección General de Ciencias de la Salud y las autoridades institucionales.1.     Realizar la logística de programación de las sesiones prácticas en los laboratorios de Ciencias de la Salud, asegurando la distribución eficiente que permita un aprovechamiento adecuado de los recursos del área.2.    Asegurar la entrega en tiempo de insumos, materiales, reactivos y equipo requeridos para la realización de las sesiones prácticas. Así como supervisar el procedimiento para el préstamo y recepción de materiales, equipos y otros recursos a docentes, alumnos y académicos.3.    Desarrollar, ejecutar y supervisar el plan de mantenimiento de los recursos del área, tanto por desgaste como para cumplir con las especificaciones del fabricante o proveedor.4.    Dominar el uso, funcionamiento y ajustes requeridos por los recursos tecnológicos, materiales y físicos, que se encuentran en los Laboratorios de Ciencias de la Salud.5.    Garantizar la custodia de los recursos que se encuentran en los Laboratorios de Ciencias de la Salud, así como la integridad de los mismos, a través de la supervisión del estado físico después de cada práctica realizada. Requisitos:·        Indispensable título de licenciatura en nutrición, enfermería, fisioterapia, medicina, químico fármaco biólogo o medicina veterinaria·        Preferible posgrado en Educación, Administración o en el área de Ciencias de la Salud.·        Experiencia laboral en áreas de ciencias de la salud o en administración de educación superior mínimo de 2 años, preferentemente ocupando un puesto similar.·        Docencia en el nivel superior, mínimo de 1 año. Experiencia técnica y habilidades: Manejo de Office (Excel, Power Point, Word, Outlook). Negociación.  Análisis de información.  Organización de eventos.  Liderazgo.  Gestión de equipos de trabajo. ¿Por qué trabajar en UNITEC? Estamos posicionados como una de las mejores Universidades a nivel nacional, con 55 años de experiencia en el mercado, alcanzando los más altos estándares en calidad educativa, contamos con la acreditación “Lisa y Llana” otorgada por la FIMPES y 5 estrellas QS Ratings en enseñanza, empleabilidad, inclusión y educación en línea. Ofrecemos: Contrato directo con la empresa.  Plan de crecimiento y capacitación constante. Incentivos y reconocimientos (entre ellos becas académicas al 100%).  Salario competitivo.  Prestaciones de ley.  Prestaciones superiores a la ley como fondo de ahorro, bono anual y vales de despensa.  Seguro de gastos médicos mayores y seguro de vida.>En este centro de trabajo queda prohibida la solicitud de certificados médicos de no embarazo y de VIH como requisito para el ingreso, permanencia o ascenso en el empleo<",22000,23500,-1500,18,1
Jefe de operaciones,"Salinas Victoria, Nuevo León",Nuevo León,Laboratorio,"Elaborar las órdenes de producción y supervisar su ejecución., Coordinar y supervisar a los operadores de mezclado., Experiencia deseada en fabricación de lubricantes, detergentes, productos químicos, etc.",,"- Administración de las operaciones de planta química
- Programación de la producción semanal/mensual
- Coordinar con compras/ventas los pedidos de MP y PT
- Elaborar las órdenes de producción y supervisar su ejecución.
- Coordinar y supervisar a los operadores de mezclado. 
- Recepción de MP y despacho de producto terminado. 
- Coordinación, supervisión y ejecución del programa de Calibración, verificación y mantenimiento de los equipos en planta. 

Experiencia deseada en fabricación de lubricantes, detergentes, productos químicos, etc.

Horario de Lunes a Viernes 8am a 6 pm, Sábados 8am a 2 pm. 
Se ofrecen prestaciones de Ley
Sueldo de 18,000-25,000 según experiencia y aptitudes.",22000,23500,-1500,18,1
Coordinacion de calidad gobierno,"Cuautitlán Izcalli, Estado de México",Estado de México,Laboratorio,"Experiencia mínima de 2 años como Responsable Sanitario o Coordinador de Calidad en la industria farmacéutica., Manejo de Paquetería office., Experiencia de 6 meses a venta directa en gobierno., Conocimiento de requerimientos regulatorios locales/regionales aplicables a medicamentos y dispositivos médicos. (NOM 059, NOM 241, Farmacopea de los Estados Unidos Mexicanos, LGS etc.), Manejo de sistema de gestión de calidad",,"Acerca de DHL
Somos la empresa líder en logística más grande del mundo, creamos una ventaja competitiva para nuestros clientes al brindarles soluciones logísticas basadas en nuestro almacenamiento, transporte y servicios integrados estandarizados a nivel mundial.

Nuestra gente es nuestro mayor activo. Estamos certificados como una empresa Great Place to Work. En DHL encontrarás una cultura que abraza la diversidad, la colaboración; potencializa tus fortalezas y genera confianza a través de nuestros valores respeto y resultados.

Un mundo impulsado por la logística. Una empresa impulsada por nuestra gente.

Requisitos:
Escolaridad: Químico Farmacéutico Biólogo, a fin (titulados).
Experiencia mínima de 2 años como Responsable Sanitario o Coordinador de Calidad en la industria farmacéutica.
Inglés intermedio.
Manejo de Paquetería office.
Experiencia de 6 meses a venta directa en gobierno.
Conocimiento de requerimientos regulatorios locales/regionales aplicables a medicamentos y dispositivos médicos. (NOM 059, NOM 241, Farmacopea de los Estados Unidos Mexicanos, LGS etc.)
Atención a cliente y trato con cliente.
Gestion de personal (2 directas y 11 indirectas)

Funciones principales:
Coordinar personal a cargo en proceso de etiquetado.
Verificación de kits, marbetes y etiquetado.
Recorridos en almacén.
Revisión de desviaciones, temperatura, control de cambios
Manejo de sistema de gestión de calidad
Zona a laborar: Prologist 3 rios.

Horario: 8 am a 6 pm lunes a viernes.

Ofrecemos:
$21,888 Mensuales brutos
vales de despensa del 10%
Seguro de vida
Seguro de gastos medicos mayores
Contrato por tiempo indefinido

En DHL México, encontrarás un ambiente que te desafiará a desarrollar al máximo tus habilidades y potencial profesional. ¡Únete a nuestro equipo y sé parte de un mundo impulsado por la logística y la excelencia en el servicio al cliente!",21888,17100,4788,9,1
Responsable sanitario / venta a gobierno,"Cuautitlán Izcalli, Estado de México",Estado de México,Laboratorio,"Experiencia mínima de 2 años como Responsable Sanitario o Coordinador de Calidad en la industria farmacéutica., Manejo de Paquetería office., Experiencia de 6 meses a venta directa en gobierno., Conocimiento de requerimientos regulatorios locales/regionales aplicables a medicamentos y dispositivos médicos. (NOM 059, NOM 241, Farmacopea de los Estados Unidos Mexicanos, LGS etc.), Manejo de sistema de gestión de calidad",,"Acerca de DHL:

Somos la empresa líder en logística más grande del mundo, creamos una ventaja competitiva para nuestros clientes al brindarles soluciones logísticas basadas en nuestro almacenamiento, transporte y servicios integrados estandarizados a nivel mundial.

Nuestra gente es nuestro mayor activo. Estamos certificados como una empresa Great Place to Work. En DHL encontrarás una cultura que abraza la diversidad, la colaboración; potencializa tus fortalezas y genera confianza a través de nuestros valores respeto y resultados.

Un mundo impulsado por la logística. Una empresa impulsada por nuestra gente.

Requisitos:
-Escolaridad: Químico Farmacéutico Biólogo o medico biológicas a fin (titulados).
-Experiencia mínima de 2 años como Responsable Sanitario o Coordinador de Calidad en la industria farmacéutica.
-Inglés intermedio.
-Manejo de Paquetería office.
-Experiencia de 6 meses a venta directa en gobierno.
-Conocimiento de requerimientos regulatorios locales/regionales aplicables a medicamentos y dispositivos médicos. (NOM 059, NOM 241, Farmacopea de los Estados Unidos Mexicanos, LGS etc.)
-Atención a cliente y trato con cliente.
-Gestion de personal (2 directas y 11 indirectas)

Funciones principales:
-Coordinar personal a cargo en proceso de etiquetado.
-Verificación de kits, marbetes y etiquetado.
-Recorridos en almacén.
-Revisión de desviaciones, temperatura, control de cambios
-Manejo de sistema de gestión de calidad

Horario 8 am a 6 pm lunes a viernes.

Zona a laborar: 3 rios.

Ofrecemos:
-$21,888 Mensuales brutos
-vales de despensa del 10%
-Seguro de vida
-Seguro de gastos medicos mayores
-Contrato por tiempo indefinido.
En DHL México, encontrarás un ambiente que te desafiará a desarrollar al máximo tus habilidades y potencial profesional. ¡Únete a nuestro equipo y sé parte de un mundo impulsado por la logística y la excelencia en el servicio al cliente!",21888,17100,4788,9,1
Customer Service  Analista Servicio al Cliente,"Miguel Hidalgo, Ciudad de México DF",Ciudad de México,Industria de Producción Biológica,"Mínimo 3 años de experiencia en puesto similar., Revisión de órdenes de compra, Realizar la orden de venta y colocar notas de requisitos especiales.",,"En Charlotte Chemical nos dedicamos a la comercialización de especialidades químicas en México. Somos especialistas en PVC, polímeros no-vinílicos, recubrimientos, lubricantes, adhesivos y cosméticos. Nuestra habilidad de negocio y calidad nos a posicionado como una de las mejores empresas en México, en este crecimiento buscamos un Analista de Servicio al Cliente.

Indispensable para postularte:

Tener título y cedula profesional como Ingeniero Químico, Relaciones Comerciales a fin.
Mínimo 3 años de experiencia en puesto similar.
¿Qué experiencia buscamos?

Etiqueta telefónica, excelente redacción y ortografía
Dominio de actividades administrativas
Dominio de uso de ERP preferente NetSuite Oracle
Trabajo con base a indicadores
Excelente presentación
Actividades:

Coordinar de inicio a fin la entrega de materia prima a los diferentes clientes
Gestión de pedidos, solicitudes y necesidades de los clientes
Comunicación con equipo KAM para gestión de solicitudes del cliente
Validar el precio
Revisión de órdenes de compra
Revisar con crédito y cobranza el estado del cliente en caso de bloqueo de pedidos.
Negociación con Analista de distribución, abastecimiento estratégico y cobranza para un efectivo envió de mercancía al cliente.
Realizar la orden de venta y colocar notas de requisitos especiales.
Revisar con Abastecimiento Estratégico la disponibilidad de material (ordenes con demora y productos bajo pedido)
Reportar pedidos a facturar al cierre de mes y anticipos.
Confirmar al cliente fecha de entrega y comunicar cualquier cambio en la misma incluyendo las reprogramaciones.
Solicitar citas y dar aviso de retrasos en ruta, negociar ampliación de horario u otro tipo de aviso con clientes (los retrasos y ampliación de horarios distribución notificara).
Envío de documentos (guías) de entrega requeridos por los clientes.
Informar a clientes estatus de backorders y bajo pedidos.
Gestionar las inconformidades y/o reclamos recibidos de los clientes (vía telefónica, correo electrónico, personal o check list de entrega de producto).
¿Qué ofrecemos?

Salario: $21,000 al mes
Horario: lunes a viernes 7:30 AM a 5:00 PM
Prestaciones de ley
Vales de despensa
18 días de aguinaldo
Fondo de ahorro
Bono semestral por cumplimiento de objetivos
PTU
Bono mensual por puntualidad y asistencia
Seguro de gastos médicos mayores
Seguro de vida
Días de descanso adicionales a la ley
Equipo de trabajo Laptop y Celular
Zona: Miguel Hidalgo

¡Únete al equipo!",21000,29500,-8500,7,2
Fisioterapeuta,"Miguel Hidalgo, Ciudad de México DF",Ciudad de México,Laboratorio,,,"¿Te gustaría marcar la diferencia en el bienestar de las personas?

¡Únete a nuestro equipo!

Esta oportunidad es para ti si:
Eres fisioterapeuta con mínimo 5 años de experiencia en clínica (OBLIGATORIO) con cédula profesional (OBLIGATORIO).
Te especializas en las ramas Traumatología, Deporte, Geriatría o Neurología.
Cuentas con flexibilidad de horario.

Si te identificas con nuestra misión y cumples con los requisitos, manda tu CV
Las vacantes son para nuestra Sede en Polanco

Adicional al salario fijo mensual, puedes optar a bonos:
Bono Mensual
Bono semestral
Bono Anual
Bono Paquetes

La contratación es por Honorarios Profesionales fijo (sueldo mensual)",21000,29500,-8500,7,1
Químico,Estado de México,Estado de México,Laboratorio,"Idioma: inglés, al menos técnico para lectura e interpretación de manuales.",,"Descripción, Empresa líder en distribución y venta de material y equipo médico de alta especialidad por expansión solicita talento para la posición de:Químico.Escolaridad: Titulado y con cédula profesional como Químico, Biólogo, Ingeniero Biomédico, Enfermero (a).Experiencia: Bombas de infusión, consumibles, insumos médicos, equipamiento, perfusores, logística.Idioma: inglés, al menos técnico para lectura e interpretación de manuales.Actividades:Capacitación a usuarios. en bombas de infusión y perfusores.Conocimientos sólidos en biología molecular y en Laboratorio Clínico.Conocimientos en flebotomía.Atención a usuarios con dudas técnicas y clínicas.Conocimiento en licitaciones.Facilidad de palabra.Atención y ventas.Operación y funcionamiento del equipo.Desempeñarse dentro de unidades hospitalarias.Asesoría para el uso de consumibles.Asesoría en control de calidad.Atención de quejas de producto.Gestión comercial de los proyectos.Conducir auto.Disponibilidad para Viajar.Trabajo de campo, principalmente CDMX y Edo. Mex.?Se ofrece:Salario de acuerdo a experiencia ($20,000 brutos) + caja de gastos.Prestaciones de ley desde el primer día, herramientas de trabajo.(Postularse con CV actualizado)",20000,17100,2900,9,1
Químico farmacéutico biólogo,"Cuautitlán Izcalli, Edo. Méx.​",Estado de México,Laboratorio,"Formación académica: Químico Biólogo Farmacéutico, QFI, QBP, Farmacéutica o afín con título y cédulaExperiencia en control de calidad y auditorías en farmacia, interna y de COFEPRISExperiencia en procesos de almacén, farmacias, depósitos o supply de medicamentos, incluyendo medicamentos controladosNivel intermedio-avanzado de inglés, Ejecutar plan de auditoria, reportes y plan capaActualización de ProcedimientosRealizar la gestión de desviaciones, acciones correctivas y preventivasEjecutar la transferencia analítica de productos biológicos, psicotrópicos y biotecnológicos.Conciliación de inventarios e inspección anual","Formación académica: Químico Biólogo Farmacéutico, QFI, QBP, Farmacéutica o afín con título y cédulaExperiencia en control de calidad y auditorías en farmacia, interna y de COFEPRISExperiencia en procesos de almacén, farmacias, depósitos o supply de medicamentos, incluyendo medicamentos controladosNivel intermedio-avanzado de inglés","Descripción, Buscamos verdaderos agentes de transformación social para que con su pasión y talento en lo que hacen nos ayuden a transformar el sector salud y la vida de nuestros pacientes con enfermedades crónico-degenerativas. Tú puedes ser parte de nuestra historia.Implant Especialista de calidad para CEDIS¿Qué necesitas?Formación académica: Químico Biólogo Farmacéutico, QFI, QBP, Farmacéutica o afín con título y cédulaExperiencia en control de calidad y auditorías en farmacia, interna y de COFEPRISExperiencia en procesos de almacén, farmacias, depósitos o supply de medicamentos, incluyendo medicamentos controladosNivel intermedio-avanzado de inglésActividadesEjecutar plan de auditoria, reportes y plan capaActualización de ProcedimientosRealizar la gestión de desviaciones, acciones correctivas y preventivasEjecutar la transferencia analítica de productos biológicos, psicotrópicos y biotecnológicos.Conciliación de inventarios e inspección anualOfrecemos:Salario $20,000 a $25,000 mensuales brutosPrestaciones de ley y superioresLugar de trabajo: Cuautitlán, EDOMEX y ocasional oficinas Santa Fe, Álvaro ObregónHorario: Lunes-Viernes 8:30 am -5:30 pmLlama extensión 2",20000,17100,2900,9,1
QUIMICO FARMACEUTICO BIOLOGO,"El Salto, Jal.",Jalisco,Laboratorio,"Conocimiento en Sistemas de Gestión de Calidad e Inocuidad como ISO 22000, FSSC 22000, Experiencia en auditorías internas y externas, Realizar los balances de materia y energía necesarios para garantizar el desarrollo de las formulaciones de nuevos productos, Evaluar y modificar continuamente las estrategias de desarrollo de productos basándose en las opiniones de los consumidores, las tendencias del mercado y los resultados de las ventas, Comunicar los avances y resultados del desarrollo de productos a las principales partes interesadas, Desarrollo de muestras de las formulas creadas, Comunicación continua con el laboratorio que realiza los análisis pertinentes a las muestras finales, Gestionar y enviar las muestras a los análisis requeridos (metales pesados, proteínas, bromatológicos, estudio de estabilidad y vida de anaquel, entre otros), Cumplir con el manejo higiénico de alimentos y las buenas prácticas de manufactura durante las actividades asignadas a su puesto",Experiencia en auditorías internas y externas,"Descripción, Conocimiento en Sistemas de Gestión de Calidad e Inocuidad como ISO 22000, FSSC 22000Conocimiento en BPM´S y MHA, normativa legal aplicable a la empresaExperiencia en auditorías internas y externasCosteo, Conocimientos en pruebas de catadoCapacidad de atender indicacionesCapacidad de seguir procedimientosCapacidad de adaptaciónTrabajo bajo presiónGenerar ideas de innovación para el desarrollo de nuevos productosLlevar a cabo las investigaciones pertinentes para el desarrollo de fórmulas e insumos requeridos a las solicitudesDiseñar y aplicar estrategias para el desarrollo de nuevos productosRevisar y aplicar las Normativas nacionales e internacionales durante el desarrollo e implementación de los proyectosRealizar los balances de materia y energía necesarios para garantizar el desarrollo de las formulaciones de nuevos productosDocumentar adecuadamente todas las etapas del diseño y desarrollo de un productoLlevar a cabo el costeo cabal de las formulacionesLlevar a cabo investigaciones para identificar las lagunas del mercado, las necesidades de los consumidores y las tendencias del sector para la ideación de productosDesarrollar y probar prototipos de productos, asegurándose de que satisfacen las necesidades de los consumidores, las normas de calidad y los reglamentos de seguridadColaborar con los equipos de ventas para desarrollar planes de lanzamiento de productosEvaluar y modificar continuamente las estrategias de desarrollo de productos basándose en las opiniones de los consumidores, las tendencias del mercado y los resultados de las ventasComunicar los avances y resultados del desarrollo de productos a las principales partes interesadasDesarrollo de muestras de las formulas creadasComunicación continua con el laboratorio que realiza los análisis pertinentes a las muestras finalesGestionar y enviar las muestras a los análisis requeridos (metales pesados, proteínas, bromatológicos, estudio de estabilidad y vida de anaquel, entre otros)Gestionar el presupuesto de desarrollo de productos y garantizar que los proyectos se completen a tiempo y dentro del presupuestoCumplir con lo establecido en sus procedimientos y llenar en tiempo y forma con información clara, íntegra, exacta veraz y trazableCumplir con el manejo higiénico de alimentos y las buenas prácticas de manufactura durante las actividades asignadas a su puesto",20000,18600,1400,14,1
Quimico de desarrollo analitico A,"Tecate, BC.",Baja California,Laboratorio,"• Manejo de farmacopeas nacionales e internacionales (FEUM, USP, EP, BP entre otras)., • Realizar los análisis fisicoquímicos de principios activos, aditivos y producto en sus diferentes etapas o cualquier análisis requerido para productos en desarrollo., • Conocer y manejar con apego a buenas prácticas de laboratorio los equipos e instrumentos del laboratorio., • Cumplir con los Procedimientos Normalizados de Operación relacionados a desarrollo analítico y los correspondientes al laboratorio de control de Calidad.",,"Descripción, EDAD: De 24 años en adelante   SEXO: Indistinto   ESCOLARIDAD: Egresado con título y cedula profesional de carreras relacionadas con las Ciencias Biológicas, Químicas y de la Salud; Físico-Matemáticas y de las Ingenierías. Entre las que se encuentran Químico Farmacéutico Biólogo, Químico Farmacéutico Industrial, Químico Industrial, Ingeniería Química, Ingeniería Bioquímica, Bioingeniería, Ingeniería en Biotecnología, entre otras.CONOCIMIENTOS:Intermedio-Avanzados en:• Química Analítica (General, Cuantitativa y Cualitativa)• Química Instrumental (HPLC, CG, Espectrofotómetro UV-VIS e IR, Disolutor, TOC, Balanzas, potenciómetro, titulador Karl Fischer, cámaras climáticas, entre otros)• Estadística intermedia/avanzada (descriptiva e inferencial)• Buenas Prácticas de Laboratorio• Buenas Prácticas de Fabricación• Buenas Prácticas de Documentación• Manejo de farmacopeas nacionales e internacionales (FEUM, USP, EP, BP entre otras).• Elaboración y emisión de documentos inherentes a sus actividades (Especificaciones, Metodologías analíticas, Protocolos, Reportes, Informes, Verificaciones, Validaciones y/o revalidaciones analíticas, entre otros).·  Sistema de Gestión de Riesgos·  Validación de Métodos Analíticos.• Transferencia de métodos analíticos• Ofimática• NOM-059-SSA1-vigente• NOM-073-SSA1-vigente• NOM-177-SSA1-vigente• Guías de validación de métodos analíticos nacionales e internacionales• Documentos normativos nacionales e internacionales, relacionados con la industria farmacéutica.• Ingles técnico (lectura-escritura).EXPERIENCIA: Mínimo 1 año en un puesto equivalente o superior dentro de la industria farmacéutica.RESPONSABILIDADESRevisar información bibliográfica para sustentar el desarrollo, verificación, validación y/o revalidación de métodos analíticos.• Revisar, actualizar y emitir los documentos relacionados a los desarrollos analíticos (Protocolos, Reportes, Verificaciones, Validaciones y/o revalidaciones analíticas, entre otros).• Efectuar las validaciones, verificaciones y/o revalidaciones de los métodos analíticos requeridos para evaluar la calidad de los principios activos, aditivos y producto en sus diferentes etapas.• Realizar los análisis fisicoquímicos de principios activos, aditivos y producto en sus diferentes etapas o cualquier análisis requerido para productos en desarrollo.• Elaboración y emisión de documentos relacionadas con desarrollo analítico (Especificaciones, Metodologías analíticas, entre otros).• Detectar y reportar cualquier eventualidad relacionada con el desarrollo analítico o análisis realizados.• Cumplir con buenas prácticas de documentación e integridad de datos.• Conocer y manejar con apego a buenas prácticas de laboratorio los equipos e instrumentos del laboratorio.• Cumplir con los Procedimientos Normalizados de Operación relacionados a desarrollo analítico y los correspondientes al laboratorio de control de Calidad.• Elaboración y seguimiento al sistema de Gestión de Calidad relacionado con desarrollo analítico (Análisis de riesgo, Controles de Cambio, RAFE, CAPA, entre otros).• Apoyo en las actividades generales que requiera el área para el cumplimiento de Objetivos.",20000,18800,1200,2,1
